light_id,lat,lon,facility_group,filter_note,center_lon,center_lat,geometry_wkt,source_dataset
보라매02-58,37.486642,126.912104,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.912104,37.486642,POINT (126.912104 37.486642),Seoul Streetlight CSV
보라매02-59,37.486545,126.911881,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.911881,37.486545,POINT (126.911881 37.486545),Seoul Streetlight CSV
보라매02-60,37.486426,126.911636,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.911636,37.486426,POINT (126.911636 37.486426),Seoul Streetlight CSV
보라매02-61,37.486312,126.911379,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.911379,37.486312,POINT (126.911379 37.486312),Seoul Streetlight CSV
보라매02-62,37.486201,126.911065,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.911065,37.486201,POINT (126.911065 37.486201),Seoul Streetlight CSV
보라매02-63,37.486087,126.910753,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.910753,37.486087,POINT (126.910753 37.486087),Seoul Streetlight CSV
보라매02-64,37.486,126.910417,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.910417,37.486,POINT (126.910417 37.486),Seoul Streetlight CSV
보라매02-65,37.485903,126.910105,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.910105,37.485903,POINT (126.910105 37.485903),Seoul Streetlight CSV
보라매02-66,37.485821,126.909763,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.909763,37.485821,POINT (126.909763 37.485821),Seoul Streetlight CSV
보라매02-67,37.485724,126.909444,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.909444,37.485724,POINT (126.909444 37.485724),Seoul Streetlight CSV
보라매02-68,37.48563,126.909064,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.909064,37.48563,POINT (126.909064 37.48563),Seoul Streetlight CSV
보라매02-69,37.485514,126.90868,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.90868,37.485514,POINT (126.90868 37.485514),Seoul Streetlight CSV
보라매02-70,37.485413,126.908289,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.908289,37.485413,POINT (126.908289 37.485413),Seoul Streetlight CSV
보라매02-71,37.485304,126.907895,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.907895,37.485304,POINT (126.907895 37.485304),Seoul Streetlight CSV
보라매02-72,37.485202,126.907519,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.907519,37.485202,POINT (126.907519 37.485202),Seoul Streetlight CSV
보라매02-73,37.485098,126.907167,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.907167,37.485098,POINT (126.907167 37.485098),Seoul Streetlight CSV
보라매02-74,37.485007,126.906807,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.906807,37.485007,POINT (126.906807 37.485007),Seoul Streetlight CSV
보라매02-75,37.484913,126.906475,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.906475,37.484913,POINT (126.906475 37.484913),Seoul Streetlight CSV
보라매02-76,37.484878,126.906128,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.906128,37.484878,POINT (126.906128 37.484878),Seoul Streetlight CSV
보라매02-77,37.484829,126.90575,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.90575,37.484829,POINT (126.90575 37.484829),Seoul Streetlight CSV
사당고가-01,37.476557,126.979245,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.979245,37.476557,POINT (126.979245 37.476557),Seoul Streetlight CSV
사당고가-02,37.476551,126.979617,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.979617,37.476551,POINT (126.979617 37.476551),Seoul Streetlight CSV
사당고가-03,37.476542,126.979942,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.979942,37.476542,POINT (126.979942 37.476542),Seoul Streetlight CSV
사당고가-04,37.47653,126.980291,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.980291,37.47653,POINT (126.980291 37.47653),Seoul Streetlight CSV
사당고가-05,37.476515,126.980644,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.980644,37.476515,POINT (126.980644 37.476515),Seoul Streetlight CSV
사당고가-06,37.476491,126.981017,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.981017,37.476491,POINT (126.981017 37.476491),Seoul Streetlight CSV
사당고가-07,37.476468,126.981347,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.981347,37.476468,POINT (126.981347 37.476468),Seoul Streetlight CSV
사당고가-08,37.476435,126.981713,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.981713,37.476435,POINT (126.981713 37.476435),Seoul Streetlight CSV
사당고가-33,37.476575,126.980789,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.980789,37.476575,POINT (126.980789 37.476575),Seoul Streetlight CSV
사당고가-34,37.476542,126.981212,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.981212,37.476542,POINT (126.981212 37.476542),Seoul Streetlight CSV
사당고가-35,37.476535,126.981306,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.981306,37.476535,POINT (126.981306 37.476535),Seoul Streetlight CSV
